"date","site","method","species_common","species_scientific","count_min","weather","beaufort_scale","habitat_type","habitat_number"
2026-04-08,bookham Common,timed count,small white,pieris rapae,2,overcast,"3","wet grassland, fens, pond margins",4
2026-05-08,bookham Common,timed count,meadow brown,maniola jurtina,3,sunny,"2",scrub woodland edge,3
2026-05-08,bookham Common,timed count,gate keeper,pyronia tithonus,1,sunny,"2",scrub woodland edge,3
2026-05-08,bookham Common,timed count,speckled wood,pararge aegeria,2,sunny,"2",broad leaved woodland,1
2026-05-08,bookham Common,timed count,holly blue,celastrina argiolus britanna,1,sunny,"2",scrub woodland edge,3
2026-05-08,bookham Common,timed count,ringlet,aphantopus hyperantus,2,sunny,"2","rides, clearings and glades",2
2026-05-08,bookham Common,timed count,green veined white,pieris napi sabellicae,1,sunny,"2",scrub woodland edge,3
2026-05-08,bookham Common,timed count,small white,pieris rapae,1,sunny,"2","wet grassland, fens, pond margins",4
2026-05-08,bookham Common,timed count,small white,pieris rapae,2,sunny,"2","wet grassland, fens, pond margins",4
2026-05-08,bookham Common,timed count,silver washed fritillary,argynnis paphia,1,sunny,"2",broad leaved woodland,1
2026-05-08,bookham Common,timed count,small skipper,thymelicus sylvestris,1,sunny,"2","rides, clearings and glades",2
2026-05-08,bookham Common,timed count,common blue,polyommatus icarus,2,sunny,"2","wet grassland, fens, pond margins",4
2026-06-08,bookham Common,timed count,meadow brown,maniola jurtina,2,partly sunny,"3",scrub woodland edge,3
2026-06-08,bookham Common,timed count,speckled wood,pararge aegeria,1,partly sunny,"3",broad leaved woodland,1
2026-06-08,bookham Common,timed count,ringlet,aphantopus hyperantus,2,partly sunny,"3","rides, clearings and glades",2
2026-06-08,bookham Common,timed count,small white,pieris rapae,1,partly sunny,"3","wet grassland, fens, pond margins",4
2026-06-08,bookham Common,timed count,meadow brown,maniola jurtina,1,partly sunny,"3",scrub woodland edge,3
